order_id,order_date,week_start,region,product_category,carrier,customer_segment,revenue,cost,units_ordered,units_shipped,on_time,in_full,freight_cost,forecast_units,actual_units,stockout_risk,exception_status,exception_type
O-1001,2026-01-02,2025-12-29,West,Equipment,CarrierA,Enterprise,950,540,10,10,true,true,72,11,10,false,closed,none
O-1002,2026-01-03,2025-12-29,Northeast,Consumables,CarrierB,SMB,420,260,20,18,false,false,96,18,20,false,open,late_partial
O-1003,2026-01-04,2025-12-29,South,Accessories,CarrierA,Mid-Market,610,330,15,15,true,true,63,14,15,false,closed,none
O-1004,2026-01-06,2026-01-05,Midwest,Equipment,CarrierC,Enterprise,1200,710,12,8,false,false,140,12,12,true,open,stockout_partial
O-1005,2026-01-07,2026-01-05,West,Services,CarrierA,Enterprise,780,410,6,6,true,true,55,6,6,false,closed,none
O-1006,2026-01-08,2026-01-05,Northeast,Equipment,CarrierB,Mid-Market,880,560,18,18,false,true,128,20,18,false,open,late_delivery
O-1007,2026-01-10,2026-01-05,South,Consumables,CarrierC,SMB,330,210,25,20,true,false,84,22,25,true,open,partial_stockout
O-1008,2026-01-13,2026-01-12,West,Accessories,CarrierA,SMB,460,250,14,14,true,true,58,15,14,false,closed,none
O-1009,2026-01-14,2026-01-12,Midwest,Equipment,CarrierB,Enterprise,1450,840,22,20,false,false,180,24,22,true,open,late_stockout
O-1010,2026-01-15,2026-01-12,Northeast,Services,CarrierC,Mid-Market,690,380,9,9,true,true,70,9,9,false,closed,none
O-1011,2026-01-17,2026-01-12,South,Equipment,CarrierB,Enterprise,1320,790,16,16,true,true,150,17,16,false,closed,none
O-1012,2026-01-18,2026-01-12,West,Consumables,CarrierC,SMB,800,480,30,28,false,false,110,27,30,false,open,late_partial
